counties,confirmed,recovered,active,deaths
Bomi,65,62,1,2
Bong,170,150,0,20
Gbarpolu,62,60,0,2
Grand Bassa,110,104,0,6
Grand Cape Mount,61,61,0,0
Grand Gedeh,63,63,0,0
Grand Kru,26,26,0,0
Lofa,165,130,0,35
Margibi,317,308,2,7
Maryland,362,348,0,14
Montserrado,6154,5967,18,169
Nimba,315,276,6,33
Rivercess,16,13,0,3
River Gee,69,68,0,1
Sinoe,13,11,0,2
National,7968,7647,27,294
